id	spec date	type	z	hostz? Telescope
PS1-310090   2011-09-22	Ia	0.349	yes Gemini
PS1-330089   2011-11-30	Ia	0.349	yes Gemini
PS1-340276   2011-12-31	Ia	0.44	no Gemini
PS1-350027   2012-01-21	Ia	0.307	yes Gemini
PS1-350078   2012-01-19	Ia	0.3	no Gemini
PS1-350083   2012-01-25	Ia	0.367	yes Gemini
PS1-350091   2012-01-19	Ia	0.51	yes Gemini
PS1-350111   2012-01-20	Ia	0.252	yes Gemini
PS1-350219   2012-01-22	Ia	0.346	yes Gemini
PS1-350233   2012-01-22	Ia	0.168	yes Gemini
PS1-350374   2012-02-01	Ia	0.5	yes Gemini
PS1-350601   2012-02-02	Ia	0.28	no Gemini
PS1-350606   2012-01-31	Ia	0.345	yes Gemini
PS1-350607   2012-01-31	Ia	0.55	no Gemini
PS1-350630   2012-01-25	Ia	0.305	yes Gemini
PS1-370329   2012-03-24	Ia	0.477	yes Gemini
PS1-370367   2012-03-24	Ia	0.47	no Gemini
PS1-380040   2012-04-17	Ia	0.67	no Gemini
PS1-440639   2012-11-12	Ia	0.526	yes Gemini
PS1-450290   2012-11-21	Ia	0.49	no Gemini
PS1-450339   2012-11-19	Ia	0.412	yes Gemini
PS1-470050   2013-01-22	II	0.198	yes Gemini
PS1-480791   2013-02-17	Ia	0.447	yes Gemini
PS1-480794   2013-02-17	Ia	0.334	yes Gemini
PS1-490037   2013-03-12	Ia	0.422	yes Gemini
PS1-490521   2013-03-18	Ia	0.34	no Gemini
PS1-500301   2013-04-21	Ia	0.325	yes Gemini
PS1-510006   2013-05-07	Ia	0.432	yes Gemini
PS1-510266   2013-05-13	Ia	0.437	yes Gemini
PS1-510457   2013-05-13	Ia	0.502	yes Gemini
PS1-520188   2013-07-01	Ia	0.28	no Gemini
PS1-530251   2013-07-13	Ia	0.413	yes Gemini
PS1-530585   2013-08-04	Ia	0.421	yes Gemini
PS1-540087   2013-08-05	Ia	0.275	yes Gemini
PS1-540118   2013-08-06	Ia	0.476	yes Gemini
PS1-540163   2013-08-05	Ia	0.329	yes Gemini
PS1-540181   2013-08-13	Ia	0.31	yes Gemini
PS1-560054   2013-10-09	Ia	0.48	no Gemini
ps1-110716		2011-01-09	Ia	0.315	yes MMT
ps1-110719		2011-01-10	Ia?	0.427	no MMT
ps1-110721		2011-01-09	Ia	0.56	no MMT
ps1-110728		2011-01-10	Ia?	0.11	no MMT
ps1-110734		2011-01-09	Ia	0.401	yes MMT
ps1-120085		2011-01-09		Ia	0.32	yes MMT
ps1-120143		2011-01-10		Ia	0.173	no MMT
ps1-120225		2011-01-10				Ia	0.106	yes MMT
ps1-120243		2011-01-09				Ia	0.34	no MMT
ps1-12aek		2012-05-22				Ia	0.27	no MMT
ps1-12wz		2012-05-22				Ia	0.071	yes MMT
ps1-130150		2011-02-22				Ia	0.21	yes MMT
ps1-130283		2011-02-22				Ia	0.076	yes MMT
ps1-130308		2011-02-22				Ia	0.081	yes MMT
ps1-130755		2011-02-23				Ia	0.292	yes MMT
ps1-130862		2011-02-23				Ia	0.332	no MMT
ps1-130943		2011-02-23				Ia	0.301	no MMT
ps1-130945		2011-02-23				Ia	0.266	yes MMT
ps1-140152		2011-05-06				Ia	0.208	no MMT
ps1-150254		2011-05-06				Ia	0.27	yes MMT
ps1-150455		2011-05-06				Ia	0.064	yes MMT
ps1-150457		2011-05-06				Ia	0.301	no MMT
ps1-150509		2011-05-06				Ia	0.295	no MMT
ps1-150522		2011-05-06				Ia	0.229	yes MMT
ps1-180561		2011-09-04				Ia	0.23	no MMT
ps1-190209		2011-09-04				Ia	0.38	no MMT
ps1-190260		2011-09-03				Ia	0.145	yes MMT
ps1-190340		2011-09-03				Ia	0.14	yes MMT
ps1-320469		2011-11-29				Ia	0.372	no MMT
ps1-330056		2011-11-28				Ia	0.259	yes MMT
ps1-330075		2011-11-28				Ia	0.057	no MMT
ps1-330083		2011-11-27				Ia	0.223	yes MMT
ps1-330089		2011-11-29				Ia	0.35	yes MMT
ps1-330106		2011-11-28				Ia	0.53	no MMT
ps1-330107		2011-11-28				Ia	0.23	no MMT
ps1-330112		2011-11-29				Ia	0.21	yes MMT
ps1-330128		2011-11-28				Ia	0.322	yes MMT
ps1-330143		2011-11-29				Ia	0.188	yes MMT
ps1-330146		2011-11-29				Ia	0.136	no MMT
ps1-330176		2011-11-29				Ia	0.366	no MMT
ps1-340169		2011-11-29				Ia	0.388	no MMT
ps1-340211		2011-12-31				Ia	0.296	no MMT
ps1-340222		2011-12-30				Ia	0.256	yes MMT
ps1-340228		2011-12-30				Ia	0.177	no MMT
ps1-340229		2011-12-29				Ia	0.142	yes MMT
ps1-340272		2011-12-30				Ia	0.196	yes MMT
ps1-340334		2011-12-31				Ia	0.306	no MMT
ps1-350027		2012-01-19				Ia	0.305	yes MMT
ps1-350047		2012-01-18				Ia	0.233	yes MMT
ps1-350050		2012-01-19				Ia	0.404	yes MMT
ps1-350080		2012-01-27				Ia	0.285	yes MMT
ps1-350083		2012-01-19				Ia	0.367	yes MMT
ps1-350180		2012-01-26,2012-01-27			Ia	0.3	no MMT
ps1-350192		2012-01-26				Ia	0.3	no MMT
ps1-350233		2012-01-27				Ia	0.168	yes MMT
ps1-350235		2012-01-27				Ia	0.263	yes MMT
ps1-350240		2012-01-26				Ia?	0.37?	no MMT
ps1-350316		2012-01-26				Ia	0.079	yes MMT
ps1-350548		2012-01-26				Ia   0.18	yes MMT
ps1-360112		2012-01-27				Ia   0.18	no MMT
ps1-360139		2012-02-27				Ia   0.385	yes MMT
ps1-360140		2012-02-27				Ia   0.23	no MMT
ps1-360145		2012-02-27				Ia   0.198	yes MMT
ps1-360156		2012-02-27				Ia   0.045	yes MMT
ps1-360359		2012-03-27				II   0.453	yes MMT
ps1-370308		2012-03-27				Ia		0.2	no MMT
ps1-370369		2012-03-29				Ia		0.19	no MMT
ps1-370394		2012-03-28				Ia		0.33	no MMT
ps1-370428		2012-03-29				Ia		0.177	yes MMT
ps1-370498		2012-03-29				Ia		0.26	no MMT
ps1-390259		2012-07-19				Ia		0.13	no MMT
ps1-390264		2012-05-23				Ia		0.292	yes MMT
ps1-390449		2012-05-22				Ia		0.25	no MMT
ps1-390471		2012-05-23				Ia		0.37	no MMT
ps1-390627		2012-05-23				Ia		0.16	no MMT
ps1-420100		2012-08-24				Ia?	    0.0975	yes MMT
ps1-420136		2012-08-24					    Ia		0.287	yes MMT
ps1-420159		2012-08-24					    Ia		0.182	yes MMT
ps1-420196		2012-09-17					    Ia		0.3	no MMT
ps1-420258		2012-09-17					    Ia		0.276	yes MMT
ps1-420352		2012-09-17					    Ia		0.39	no MMT
ps1-420407		2012-09-15					    Ia		0.25	no MMT
ps1-420414		2012-09-16					    Ia		0.294	yes MMT
ps1-420417		2012-09-17					    Ia		0.363	yes MMT
ps1-430003		2012-09-16					    Ia		0.33	no MMT
ps1-430004		2012-09-16					    Ia		0.233	yes MMT
ps1-440005		2012-08-24					    Ia		0.306	yes MMT
ps1-440008		2012-10-14					    Ia		0.147	yes MMT
ps1-440039		2012-10-15					    Ia		0.25	yes MMT
ps1-440050		2012-10-15					    Ia		0.287	yes MMT
ps1-440162		2012-10-14					    Ia		0.421	yes MMT
ps1-440236		2012-10-14					    Ia		0.43	no MMT
ps1-440264		2012-10-15					    Ia?		0.3	no MMT
ps1-440285		2012-10-14					    Ia		0.18	no MMT
ps1-440509		2012-11-14					    Ia		0.32	no MMT
ps1-440643		2012-11-14					    Ia		0.19	no MMT
ps1-450020		2012-11-14					    Ia		0.065	yes MMT
ps1-450082		2012-11-15					    Ia		0.25	no MMT
ps1-460105		2013-01-12					    Ia	 0.21		no MMT
ps1-470041		2013-01-13					    Ia	 0.331		yes MMT
ps1-470043		2013-01-13					    Ia	 0.07		no MMT
ps1-470047		2013-01-13					    Ia	 0.08		no MMT
ps1-470232		2013-01-13					    Ia	 0.2		no MMT
ps1-470240		2013-01-13					    Ia	 0.43		no MMT
ps1-470244		2013-02-05					    Ia	 0.36		no MMT
ps1-480064		2013-02-04					    Ia	 0.242		yes MMT
ps1-480184		2013-02-05					    Ia	 0.33		yes MMT
ps1-480210		2013-02-05					    Ia?	 0.4?		no MMT
ps1-500004		2013-04-14					    Ia	 0.25		yes MMT
ps1-500038		2013-04-13					    Ia	 0.106		yes MMT
ps1-500057		2013-04-13					    Ia	 0.38		no MMT
ps1-500065		2013-04-15					    Ia	 0.285		yes MMT
ps1-500100		2013-04-15					    Ia	 0.31		no MMT
ps1-500504		2013-05-14					    Ia	 0.199		yes MMT
ps1-500511		2013-05-13					    Ia	 0.334		yes MMT
ps1-510251		2013-05-14					    Ia	 0.24		no MMT
